Poisoning Rate,Easy,Normal,Hard
0.0,0,5,27
0.05,0,17,35
0.1,0,29,35
0.15,1,33,38
0.2,12,35,37
0.25,13,37,39
0.3,24,42,40
0.35,21,39,45
0.4,29,43,46
