Poisoning Rate,Easy,Normal,Hard
0.0,0,40,50
0.05,10,46,50
0.1,21,49,50
0.15,23,50,50
0.2,27,50,50
0.25,29,50,50
0.3,31,50,50
0.35,33,50,50
0.4,35,50,50
