Poisoning Rate,Easy,Normal,Hard
Clean,100.0,84.0,32.0
0.05,0.0,32.0,76.0
0.1,4.0,54.0,80.0
0.15,16.0,68.0,84.0
0.2,38.0,76.0,84.0
0.25,48.0,80.0,88.0
0.3,62.0,82.0,90.0
0.35,62.0,84.0,92.0
0.4,70.0,86.0,94.0
