Poisoning Rate,Easy,Normal,Hard
0.0,1,5,27
0.05,1,11,35
0.1,1,22,41
0.15,7,31,46
0.2,17,36,46
0.25,28,41,46
0.3,34,44,48
0.35,35,45,48
0.4,36,45,50
