Poisoning Rate,Easy,Normal,Hard
0.0,1,1,10
0.05,1,1,18
0.1,1,9,25
0.15,3,19,35
0.2,11,30,41
0.25,20,35,41
0.3,28,39,44
0.35,29,39,45
0.4,31,43,43
