Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,80.0,66.0,62.0,52.0,48.0,44.0,40.0,34.0,32.0
0.05,34.0,44.0,48.0,56.0,64.0,62.0,64.0,64.0,68.0
0.1,50.0,60.0,60.0,62.0,66.0,60.0,64.0,68.0,64.0
0.15,58.0,66.0,68.0,68.0,72.0,68.0,68.0,72.0,72.0
0.2,68.0,72.0,68.0,68.0,74.0,70.0,70.0,72.0,74.0
0.25,70.0,76.0,76.0,72.0,80.0,78.0,74.0,78.0,80.0
0.3,76.0,78.0,82.0,78.0,82.0,80.0,82.0,84.0,82.0
0.35,80.0,82.0,84.0,84.0,86.0,86.0,86.0,86.0,82.0
0.4,84.0,84.0,88.0,88.0,88.0,86.0,90.0,88.0,84.0
