fpr,tpr
0.0,0.0
0.0,0.002857142857142857
0.0,0.7142857142857143
0.01,0.7142857142857143
0.01,0.7428571428571429
0.02,0.7428571428571429
0.02,0.7857142857142857
0.03,0.7857142857142857
0.03,0.8171428571428572
0.04,0.8171428571428572
0.04,0.84
0.05,0.84
0.05,0.8514285714285714
0.07,0.8514285714285714
0.07,0.86
0.08,0.86
0.08,0.8771428571428571
0.09,0.8771428571428571
0.09,0.88
0.1,0.88
0.1,0.8914285714285715
0.11,0.8914285714285715
0.11,0.9
0.12,0.9
0.12,0.9057142857142857
0.14,0.9057142857142857
0.14,0.9114285714285715
0.16,0.9114285714285715
0.16,0.9142857142857143
0.19,0.9142857142857143
0.19,0.92
0.21,0.92
0.21,0.9228571428571428
0.26,0.9228571428571428
0.26,0.9257142857142857
0.27,0.9257142857142857
0.27,0.9285714285714286
0.28,0.9285714285714286
0.28,0.9314285714285714
0.29,0.9314285714285714
0.29,0.9371428571428572
0.3,0.9371428571428572
0.3,0.94
0.32,0.94
0.32,0.9485714285714286
0.4,0.9485714285714286
0.4,0.9514285714285714
0.42,0.9514285714285714
0.42,0.9542857142857143
0.44,0.9542857142857143
0.44,0.9571428571428572
0.47,0.9571428571428572
0.47,0.9628571428571429
0.49,0.9628571428571429
0.49,0.9657142857142857
0.5,0.9657142857142857
0.5,0.9685714285714285
0.53,0.9685714285714285
0.53,0.9714285714285714
0.54,0.9714285714285714
0.54,0.9742857142857143
0.56,0.9742857142857143
0.56,0.9771428571428571
0.58,0.9771428571428571
0.58,0.9828571428571429
0.61,0.9828571428571429
0.61,0.9857142857142858
0.72,0.9857142857142858
0.72,0.9885714285714285
0.77,0.9885714285714285
0.77,0.9914285714285714
0.79,0.9914285714285714
0.79,0.9971428571428571
0.86,0.9971428571428571
0.86,1.0
0.98,1.0
1.0,1.0
