Poisoning Rate,Easy,Normal,Hard
Clean,100.0,94.0,56.0
0.05,0.0,18.0,62.0
0.1,2.0,44.0,76.0
0.15,6.0,54.0,82.0
0.2,24.0,66.0,82.0
0.25,34.0,72.0,84.0
0.3,50.0,76.0,88.0
0.35,50.0,78.0,88.0
0.4,58.0,80.0,92.0
