Poisoning Rate,Easy,Normal,Hard
0.0,0,1,18
0.05,0,5,24
0.1,0,19,37
0.15,5,30,42
0.2,16,35,42
0.25,25,38,45
0.3,28,38,44
0.35,31,42,44
0.4,37,41,46
