Data.Base,Rate,Train.Clean,Test.Clean,Train.Poison,Test.Poison
abalone_subset_std,0.0,0.80425,0.7895,0.80425,0.7895
abalone_subset_std,0.05,0.80425,0.7895,0.7955692504352531,0.775
abalone_subset_std,0.1,0.80425,0.7895,0.7875656976922534,0.772
abalone_subset_std,0.15,0.80425,0.7895,0.7786706874948199,0.768
abalone_subset_std,0.2,0.80425,0.7895,0.7664186716221307,0.771
abalone_subset_std,0.25,0.80425,0.7895,0.7541111358660648,0.756
abalone_subset_std,0.3,0.80425,0.7895,0.7424212180119499,0.7585
australian_std,0.0,0.9561594202898551,0.8347826086956521,0.9561594202898551,0.8347826086956521
australian_std,0.05,0.9561594202898551,0.8347826086956521,0.9497364893268884,0.8101449275362318
australian_std,0.1,0.9561594202898551,0.8347826086956521,0.94362510019448,0.7898550724637682
australian_std,0.15,0.9561594202898551,0.8347826086956521,0.934496903251514,0.7463768115942029
australian_std,0.2,0.9561594202898551,0.8347826086956521,0.9197748451667266,0.7608695652173914
australian_std,0.25,0.9561594202898551,0.8347826086956521,0.9156562342274643,0.7434782608695653
australian_std,0.3,0.9561594202898551,0.8347826086956521,0.9125316175382825,0.7072463768115942
banknote_std,0.0,1.0,1.0,1.0,1.0
banknote_std,0.05,1.0,1.0,0.9583876654421554,0.9890909090909092
banknote_std,0.1,1.0,1.0,0.9238176304745466,0.989090909090909
banknote_std,0.15,1.0,1.0,0.8916477538461249,0.9803636363636363
banknote_std,0.2,1.0,1.0,0.8636648975088181,0.9803636363636364
banknote_std,0.25,1.0,1.0,0.8460848163757587,0.9774545454545454
banknote_std,0.3,1.0,1.0,0.81467948532093,0.9636363636363636
breastcancer_std,0.0,0.9912087912087912,0.9333333333333333,0.9912087912087912,0.9333333333333333
breastcancer_std,0.05,0.9912087912087912,0.9333333333333333,0.9929520368190958,0.8859649122807017
breastcancer_std,0.1,0.9912087912087912,0.9333333333333333,0.9946188455580252,0.8807017543859649
breastcancer_std,0.15,0.9912087912087912,0.9333333333333333,0.9910439198829236,0.8666666666666666
breastcancer_std,0.2,0.9912087912087912,0.9333333333333333,0.989052534304727,0.8631578947368421
breastcancer_std,0.25,0.9912087912087912,0.9333333333333333,0.9853936510413452,0.8526315789473683
breastcancer_std,0.3,0.9912087912087912,0.9333333333333333,0.9784804153049063,0.8368421052631578
cmc_std,0.0,0.835483870967742,0.7776271186440677,0.835483870967742,0.7776271186440677
cmc_std,0.05,0.835483870967742,0.7776271186440677,0.8625654859058705,0.6447457627118645
cmc_std,0.1,0.835483870967742,0.7776271186440677,0.8585332143458053,0.6271186440677966
cmc_std,0.15,0.835483870967742,0.7776271186440677,0.8520983488122553,0.6122033898305085
cmc_std,0.2,0.835483870967742,0.7776271186440677,0.8552481988666047,0.6244067796610169
cmc_std,0.25,0.835483870967742,0.7776271186440677,0.8418897408402449,0.6135593220338983
cmc_std,0.3,0.835483870967742,0.7776271186440677,0.8290387183141039,0.5979661016949153
htru2_subset_std,0.0,0.94475,0.9335000000000001,0.94475,0.9335000000000001
htru2_subset_std,0.05,0.94475,0.9335000000000001,0.919336125937037,0.9269999999999999
htru2_subset_std,0.1,0.94475,0.9335000000000001,0.8962917786161919,0.9265000000000001
htru2_subset_std,0.15,0.94475,0.9335000000000001,0.8734926251730627,0.9179999999999999
htru2_subset_std,0.2,0.94475,0.9335000000000001,0.8554755448378873,0.9175000000000001
htru2_subset_std,0.25,0.94475,0.9335000000000001,0.8341160438810068,0.9185000000000001
htru2_subset_std,0.3,0.94475,0.9335000000000001,0.815449217646195,0.909
phoneme_subset_std,0.0,0.853375,0.842,0.853375,0.842
phoneme_subset_std,0.05,0.853375,0.842,0.83546065904284,0.843
phoneme_subset_std,0.1,0.853375,0.842,0.8183820108375425,0.8324999999999999
phoneme_subset_std,0.15,0.853375,0.842,0.8047086373138415,0.82
phoneme_subset_std,0.2,0.853375,0.842,0.7861313108445869,0.8164999999999999
phoneme_subset_std,0.25,0.853375,0.842,0.7807794443526358,0.7995
phoneme_subset_std,0.3,0.853375,0.842,0.7691607008864227,0.795
ringnorm_subset_std,0.0,0.9967499999999999,0.9730000000000001,0.9967499999999999,0.9730000000000001
ringnorm_subset_std,0.05,0.9967499999999999,0.9730000000000001,0.9733988821347325,0.9620000000000001
ringnorm_subset_std,0.1,0.9967499999999999,0.9730000000000001,0.9645571102864601,0.9555
ringnorm_subset_std,0.15,0.9967499999999999,0.9730000000000001,0.9513986241184977,0.9460000000000001
ringnorm_subset_std,0.2,0.9967499999999999,0.9730000000000001,0.9438320577679475,0.9390000000000001
ringnorm_subset_std,0.25,0.9967499999999999,0.9730000000000001,0.93182478811241,0.9295
ringnorm_subset_std,0.3,0.9967499999999999,0.9730000000000001,0.9232704507892017,0.923
texture_subset_std,0.0,1.0,0.99,1.0,0.99
texture_subset_std,0.05,1.0,0.99,0.9945292490171103,0.986
texture_subset_std,0.1,1.0,0.99,0.9921626327617423,0.978
texture_subset_std,0.15,1.0,0.99,0.9850495262760092,0.9709999999999999
texture_subset_std,0.2,1.0,0.99,0.9827635267006697,0.9719999999999999
texture_subset_std,0.25,1.0,0.99,0.983165244731107,0.969
texture_subset_std,0.3,1.0,0.99,0.974759375432253,0.96
yeast_subset_std,0.0,0.7214586255259468,0.6692737430167598,0.7214586255259468,0.6692737430167598
yeast_subset_std,0.05,0.7214586255259468,0.6692737430167598,0.7297827243165782,0.6581005586592179
yeast_subset_std,0.1,0.7214586255259468,0.6692737430167598,0.7207792530349001,0.6502793296089385
yeast_subset_std,0.15,0.7214586255259468,0.6692737430167598,0.7275418295115935,0.6402234636871509
yeast_subset_std,0.2,0.7214586255259468,0.6692737430167598,0.7234572828042473,0.6279329608938548
yeast_subset_std,0.25,0.7214586255259468,0.6692737430167598,0.7129050384975928,0.6189944134078212
yeast_subset_std,0.3,0.7214586255259468,0.6692737430167598,0.7068130396553564,0.6033519553072626
