Poisoning Rate,Easy,Normal,Hard
0.0,0,1,14
0.05,0,5,24
0.1,0,17,35
0.15,3,29,40
0.2,13,32,42
0.25,21,36,45
0.3,26,36,44
0.35,28,40,44
0.4,33,39,47
