Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
0.0,8,15,16,22,26,25,29,30,30
0.05,13,17,24,27,28,30,33,28,35
0.1,25,28,30,29,28,28,33,29,30
0.15,29,32,32,32,32,34,33,33,35
0.2,32,33,32,33,33,34,37,33,35
0.25,31,40,34,35,39,37,36,37,39
0.3,35,38,39,38,37,38,38,39,39
0.35,41,38,42,39,43,41,45,44,42
0.4,40,41,45,46,44,44,45,41,43
