Poisoning Rate,Easy,Normal,Hard
0.0,0,10,37
0.05,0,20,41
0.1,1,27,44
0.15,14,38,44
0.2,26,41,46
0.25,32,43,47
0.3,38,46,47
0.35,42,47,47
0.4,41,47,48
