Poisoning Rate,Easy,Normal,Hard
0.0,0,1,16
0.05,0,5,22
0.1,0,15,32
0.15,3,26,41
0.2,12,33,42
0.25,19,35,45
0.3,24,36,44
0.35,27,39,43
0.4,32,38,47
