Poisoning Rate,Easy,Normal,Hard
0.0,0,1,9
0.05,0,4,21
0.1,0,20,37
0.15,0,21,41
0.2,3,31,39
0.25,0,27,40
0.3,7,33,42
0.35,8,26,42
0.4,7,22,44
