Poisoning Rate,Easy,Normal,Hard
0.0,0,3,20
0.05,0,11,31
0.1,0,26,35
0.15,0,27,38
0.2,8,30,36
0.25,7,34,38
0.3,20,36,39
0.35,15,38,44
0.4,23,40,44
