Poisoning Rate,Easy,Normal,Hard
Clean,100.0,80.0,26.0
0.05,0.0,38.0,80.0
0.1,4.0,58.0,82.0
0.15,20.0,72.0,84.0
0.2,44.0,74.0,86.0
0.25,50.0,80.0,88.0
0.3,66.0,84.0,90.0
0.35,66.0,86.0,92.0
0.4,72.0,88.0,94.0
