Poisoning Rate,Easy,Normal,Hard
0.0,0,3,23
0.05,0,8,30
0.1,0,25,41
0.15,9,32,43
0.2,19,38,43
0.25,25,38,47
0.3,31,42,45
0.35,37,45,45
0.4,38,42,47
