Poisoning Rate,Easy,Normal,Hard
0.0,0,10,38
0.05,0,18,37
0.1,4,25,37
0.15,7,30,37
0.2,25,30,39
0.25,26,36,42
0.3,33,36,43
0.35,30,39,42
0.4,38,39,45
