Poisoning Rate,Easy,Normal,Hard
0.0,0,5,33
0.05,0,17,38
0.1,1,27,43
0.15,12,35,44
0.2,22,41,45
0.25,30,42,47
0.3,33,45,46
0.35,40,47,46
0.4,38,47,47
