Poisoning Rate,Easy,Normal,Hard
0.0,0,5,26
0.05,1,9,36
0.1,2,19,42
0.15,6,36,43
0.2,20,42,45
0.25,26,42,45
0.3,33,42,46
0.35,37,44,45
0.4,37,47,47
