Poisoning Rate,Easy,Normal,Hard
0.0,0,1,9
0.05,0,4,19
0.1,1,13,33
0.15,2,20,39
0.2,12,36,41
0.25,24,39,43
0.3,27,41,44
0.35,31,43,44
0.4,38,45,45
