fpr,tpr
0.0,0.0
0.0,0.002857142857142857
0.0,0.06
0.01,0.06
0.01,0.19714285714285715
0.02,0.19714285714285715
0.02,0.43142857142857144
0.03,0.43142857142857144
0.03,0.4742857142857143
0.04,0.4742857142857143
0.04,0.4942857142857143
0.05,0.4942857142857143
0.05,0.5
0.06,0.5
0.06,0.5257142857142857
0.07,0.5257142857142857
0.07,0.5514285714285714
0.08,0.5514285714285714
0.08,0.5542857142857143
0.09,0.5542857142857143
0.09,0.5742857142857143
0.1,0.5742857142857143
0.1,0.6142857142857143
0.11,0.6142857142857143
0.11,0.6714285714285714
0.12,0.6714285714285714
0.12,0.6771428571428572
0.14,0.6771428571428572
0.14,0.6828571428571428
0.15,0.6828571428571428
0.15,0.6885714285714286
0.17,0.6885714285714286
0.17,0.7057142857142857
0.18,0.7057142857142857
0.18,0.7085714285714285
0.19,0.7085714285714285
0.19,0.7114285714285714
0.2,0.7114285714285714
0.2,0.7285714285714285
0.21,0.7285714285714285
0.21,0.7342857142857143
0.23,0.7342857142857143
0.23,0.7485714285714286
0.27,0.7485714285714286
0.27,0.7571428571428571
0.3,0.7571428571428571
0.3,0.7628571428571429
0.33,0.7628571428571429
0.33,0.7657142857142857
0.36,0.7657142857142857
0.36,0.7685714285714286
0.41,0.7685714285714286
0.41,0.7714285714285715
0.44,0.7714285714285715
0.44,0.7771428571428571
0.5,0.7771428571428571
0.5,0.78
0.51,0.78
0.51,0.7857142857142857
0.53,0.7857142857142857
0.53,0.7885714285714286
0.56,0.7885714285714286
0.56,0.7914285714285715
0.59,0.7914285714285715
0.59,0.7971428571428572
0.61,0.7971428571428572
0.61,0.8
0.62,0.8
0.62,0.8057142857142857
0.67,0.8057142857142857
0.67,0.8085714285714286
0.68,0.8085714285714286
0.68,0.8114285714285714
0.7,0.8114285714285714
0.7,0.8171428571428572
0.74,0.8171428571428572
0.74,0.82
0.76,0.82
0.76,0.8314285714285714
0.77,0.8314285714285714
0.77,0.8371428571428572
0.78,0.8371428571428572
0.78,0.8514285714285714
0.79,0.8514285714285714
0.79,0.8914285714285715
0.8,0.8914285714285715
0.8,0.9257142857142857
0.81,0.9257142857142857
0.81,0.94
0.83,0.94
0.83,0.9428571428571428
0.85,0.9428571428571428
0.85,0.9457142857142857
0.87,0.9457142857142857
0.87,0.9685714285714285
0.88,0.9685714285714285
0.88,0.9771428571428571
0.89,0.9771428571428571
0.89,0.9885714285714285
0.9,0.9885714285714285
0.9,0.9942857142857143
0.91,0.9942857142857143
0.91,1.0
1.0,1.0
