Poisoning Rate,Easy,Normal,Hard
Clean,100.0,98.0,72.0
0.05,0.0,8.0,44.0
0.1,0.0,32.0,66.0
0.15,4.0,44.0,76.0
0.2,16.0,60.0,78.0
0.25,24.0,64.0,82.0
0.3,38.0,70.0,84.0
0.35,40.0,70.0,84.0
0.4,46.0,70.0,90.0
