fpr,tpr
0.0,0.0
0.05263157894736842,0.08
0.10526315789473684,0.156
0.15789473684210525,0.236
0.21052631578947367,0.3465263157894737
0.2631578947368421,0.42000000000000004
0.3157894736842105,0.48
0.3684210526315789,0.5
0.42105263157894735,0.536
0.47368421052631576,0.624
0.5263157894736842,0.6799999999999999
0.5789473684210527,0.7120000000000001
0.631578947368421,0.764
0.6842105263157894,0.784
0.7368421052631579,0.836
0.7894736842105263,0.8640000000000001
0.8421052631578947,0.9040000000000001
0.894736842105263,0.9399999999999998
0.9473684210526315,0.96
1.0,1.0
