Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,84.0,70.0,68.0,58.0,52.0,48.0,42.0,38.0,34.0
0.05,28.0,38.0,44.0,52.0,56.0,60.0,62.0,64.0,64.0
0.1,46.0,56.0,60.0,62.0,64.0,60.0,60.0,62.0,62.0
0.15,54.0,62.0,66.0,66.0,70.0,66.0,64.0,70.0,70.0
0.2,64.0,70.0,66.0,68.0,72.0,68.0,68.0,70.0,72.0
0.25,66.0,74.0,72.0,70.0,78.0,76.0,72.0,76.0,78.0
0.3,74.0,80.0,80.0,76.0,80.0,82.0,78.0,80.0,80.0
0.35,78.0,80.0,84.0,80.0,84.0,84.0,84.0,84.0,82.0
0.4,82.0,84.0,88.0,86.0,86.0,84.0,88.0,84.0,80.0
