Poisoning Rate,Easy,Normal,Hard
0.0,0,3,27
0.05,0,13,38
0.1,0,30,38
0.15,0,30,42
0.2,5,34,40
0.25,5,33,41
0.3,16,35,43
0.35,12,33,43
0.4,15,33,46
