Poisoning Rate,Easy,Normal,Hard
0.0,1,3,22
0.05,1,9,31
0.1,2,18,39
0.15,8,29,44
0.2,17,34,46
0.25,29,40,46
0.3,33,42,47
0.35,33,43,48
0.4,34,45,47
