Poisoning Rate,Easy,Normal,Hard
Clean,100.0,90.0,38.0
0.05,0.0,28.0,74.0
0.1,2.0,52.0,78.0
0.15,12.0,64.0,84.0
0.2,32.0,72.0,84.0
0.25,44.0,78.0,86.0
0.3,58.0,80.0,88.0
0.35,60.0,82.0,90.0
0.4,66.0,84.0,94.0
