Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,98.0,92.0,88.0,82.0,78.0,68.0,60.0,56.0,58.0
0.05,12.0,18.0,22.0,30.0,36.0,44.0,44.0,48.0,52.0
0.1,24.0,34.0,44.0,48.0,48.0,50.0,54.0,54.0,54.0
0.15,34.0,42.0,50.0,52.0,54.0,56.0,60.0,60.0,60.0
0.2,48.0,50.0,54.0,56.0,56.0,56.0,58.0,60.0,60.0
0.25,48.0,56.0,56.0,56.0,64.0,60.0,58.0,62.0,66.0
0.3,60.0,60.0,64.0,60.0,64.0,62.0,62.0,66.0,66.0
0.35,56.0,60.0,64.0,60.0,66.0,68.0,68.0,64.0,64.0
0.4,58.0,62.0,64.0,62.0,66.0,64.0,64.0,64.0,64.0
