Poisoning Rate,Easy,Normal,Hard
0.0,0,1,13
0.05,0,7,29
0.1,0,21,38
0.15,0,23,41
0.2,4,31,39
0.25,2,29,40
0.3,9,34,42
0.35,8,28,42
0.4,10,28,45
