Poisoning Rate,Easy,Normal,Hard
Clean,100.0,98.0,72.0
0.05,0.0,10.0,48.0
0.1,0.0,34.0,68.0
0.15,2.0,48.0,78.0
0.2,18.0,62.0,80.0
0.25,24.0,66.0,82.0
0.3,40.0,72.0,86.0
0.35,42.0,70.0,86.0
0.4,48.0,72.0,88.0
