Poisoning Rate,Easy,Normal,Hard
0.0,0,5,36
0.05,0,12,36
0.1,2,23,37
0.15,3,25,37
0.2,12,28,39
0.25,20,34,41
0.3,27,33,43
0.35,25,35,42
0.4,31,35,44
