Poisoning Rate,Easy,Normal,Hard
Clean,100.0,98.0,38.0
0.05,0.0,32.0,96.0
0.1,0.0,60.0,100.0
0.15,4.0,68.0,100.0
0.2,8.0,76.0,100.0
0.25,14.0,76.0,100.0
0.3,18.0,78.0,100.0
0.35,18.0,64.0,96.0
0.4,20.0,58.0,88.0
