Poisoning Rate,Easy,Normal,Hard
0.0,0,3,10
0.05,0,5,22
0.1,1,13,35
0.15,3,22,40
0.2,13,36,41
0.25,25,39,43
0.3,28,41,44
0.35,32,42,44
0.4,38,46,46
