fpr,tpr
0.0,0.0
0.0,0.002857142857142857
0.0,0.22857142857142856
0.01,0.22857142857142856
0.01,0.30857142857142855
0.02,0.30857142857142855
0.02,0.44
0.03,0.44
0.03,0.4742857142857143
0.04,0.4742857142857143
0.04,0.4942857142857143
0.05,0.4942857142857143
0.05,0.5228571428571429
0.06,0.5228571428571429
0.06,0.5828571428571429
0.07,0.5828571428571429
0.07,0.5914285714285714
0.08,0.5914285714285714
0.08,0.6114285714285714
0.09,0.6114285714285714
0.09,0.6314285714285715
0.1,0.6314285714285715
0.1,0.6457142857142857
0.11,0.6457142857142857
0.11,0.6485714285714286
0.12,0.6485714285714286
0.12,0.6542857142857142
0.13,0.6542857142857142
0.13,0.6685714285714286
0.14,0.6685714285714286
0.14,0.7028571428571428
0.15,0.7028571428571428
0.15,0.7057142857142857
0.19,0.7057142857142857
0.19,0.7085714285714285
0.2,0.7085714285714285
0.2,0.7228571428571429
0.21,0.7228571428571429
0.21,0.7257142857142858
0.22,0.7257142857142858
0.22,0.7285714285714285
0.23,0.7285714285714285
0.23,0.7314285714285714
0.24,0.7314285714285714
0.24,0.7342857142857143
0.25,0.7342857142857143
0.25,0.7428571428571429
0.28,0.7428571428571429
0.28,0.7457142857142857
0.29,0.7457142857142857
0.29,0.7485714285714286
0.31,0.7485714285714286
0.31,0.7514285714285714
0.34,0.7514285714285714
0.34,0.76
0.36,0.76
0.36,0.7657142857142857
0.38,0.7657142857142857
0.38,0.7685714285714286
0.39,0.7685714285714286
0.39,0.7771428571428571
0.41,0.7771428571428571
0.41,0.7857142857142857
0.42,0.7857142857142857
0.42,0.7971428571428572
0.43,0.7971428571428572
0.43,0.8
0.44,0.8
0.44,0.8028571428571428
0.45,0.8028571428571428
0.45,0.8085714285714286
0.46,0.8085714285714286
0.46,0.8228571428571428
0.47,0.8228571428571428
0.47,0.8285714285714286
0.48,0.8285714285714286
0.48,0.8314285714285714
0.5,0.8314285714285714
0.5,0.8342857142857143
0.52,0.8342857142857143
0.52,0.8428571428571429
0.54,0.8428571428571429
0.54,0.8485714285714285
0.56,0.8485714285714285
0.56,0.8571428571428571
0.57,0.8571428571428571
0.57,0.86
0.58,0.86
0.58,0.8685714285714285
0.6,0.8685714285714285
0.6,0.8714285714285714
0.61,0.8714285714285714
0.61,0.8771428571428571
0.62,0.8771428571428571
0.62,0.88
0.64,0.88
0.64,0.8828571428571429
0.65,0.8828571428571429
0.65,0.8885714285714286
0.67,0.8885714285714286
0.67,0.9028571428571428
0.69,0.9028571428571428
0.69,0.9142857142857143
0.7,0.9142857142857143
0.7,0.9228571428571428
0.73,0.9228571428571428
0.73,0.9257142857142857
0.74,0.9257142857142857
0.74,0.9285714285714286
0.75,0.9285714285714286
0.75,0.9314285714285714
0.77,0.9314285714285714
0.77,0.9371428571428572
0.78,0.9371428571428572
0.78,0.94
0.79,0.94
0.79,0.9428571428571428
0.81,0.9428571428571428
0.81,0.9542857142857143
0.84,0.9542857142857143
0.84,0.9571428571428572
0.85,0.9571428571428572
0.85,0.96
0.86,0.96
0.86,0.9742857142857143
0.9,0.9742857142857143
0.9,0.9771428571428571
0.92,0.9771428571428571
0.92,0.98
0.93,0.98
0.93,0.9885714285714285
0.95,0.9885714285714285
0.95,0.9914285714285714
0.96,0.9914285714285714
0.96,0.9971428571428571
1.0,0.9971428571428571
1.0,1.0
