Poisoning Rate,Easy,Normal,Hard
0.0,1,1,11
0.05,1,2,16
0.1,2,8,26
0.15,4,19,32
0.2,12,30,40
0.25,21,34,41
0.3,28,37,43
0.35,30,37,46
0.4,29,40,44
