fpr,tpr
0.0,0.0
0.05263157894736842,0.4428571428571428
0.10526315789473684,0.54
0.15789473684210525,0.6028571428571429
0.21052631578947367,0.6542857142857144
0.2631578947368421,0.7
0.3157894736842105,0.7371428571428572
0.3684210526315789,0.7571428571428571
0.42105263157894735,0.78
0.47368421052631576,0.8028571428571428
0.5263157894736842,0.8228571428571427
0.5789473684210527,0.8628571428571428
0.631578947368421,0.8885714285714286
0.6842105263157894,0.8971428571428571
0.7368421052631579,0.9257142857142856
0.7894736842105263,0.9542857142857143
0.8421052631578947,0.962857142857143
0.894736842105263,0.9800000000000001
0.9473684210526315,0.9984962406015038
1.0,1.0
