Dataset,Poisoning Rate,Attack,Train,Test
abalone_subset_std,0.1,alfa_svm,1.1553205723953845,1.887458608817689
abalone_subset_std,0.1,falfa_nn,4.504468267731499,1.7356554957709804
abalone_subset_std,0.1,poison_svm,0.2150398293955286,0.8477912478906634
abalone_subset_std,0.1,rand_svm,0.7334102705852986,0.6754628043053139
abalone_subset_std,0.2,alfa_svm,1.5334805182981615,3.230711995830018
abalone_subset_std,0.2,falfa_nn,1.9767199789044505,6.569341671735459
abalone_subset_std,0.2,poison_svm,1.6016597027010104,1.1263880326068811
abalone_subset_std,0.2,rand_svm,1.383919930848599,1.4853450777512893
abalone_subset_std,0.3,alfa_svm,3.070016286601752,2.558075448457298
abalone_subset_std,0.3,falfa_nn,1.931644377208188,3.7223984203736173
abalone_subset_std,0.3,poison_svm,0.7794227798343212,1.7011025836204015
abalone_subset_std,0.3,rand_svm,2.0556705110498616,1.9251623308178416
australian_std,0.1,alfa_svm,5.529073355808639,4.0150420803463955
australian_std,0.1,falfa_nn,3.913630524939508,3.7513562624767447
australian_std,0.1,poison_svm,0.5702253507889616,3.915726401769937
australian_std,0.1,rand_svm,1.141448116088647,0.5123962182511198
australian_std,0.2,alfa_svm,11.762813826628932,17.21986758164855
australian_std,0.2,falfa_nn,3.8073659525641035,3.88881387391268
australian_std,0.2,poison_svm,0.3680554480863867,5.551878640399407
australian_std,0.2,rand_svm,1.6172981246859137,2.3480944559448753
australian_std,0.3,alfa_svm,5.181286103650396,13.147731513091859
australian_std,0.3,falfa_nn,6.447086829447192,10.948985215657114
australian_std,0.3,poison_svm,0.9888974988116961,7.679108285066063
australian_std,0.3,rand_svm,3.282436729667153,2.8529014036274702
banknote_std,0.1,alfa_svm,1.2978372853392457,2.5324342322152953
banknote_std,0.1,falfa_nn,1.1755456453329185,2.947474055150468
banknote_std,0.1,poison_svm,1.047404242774578,1.1208025459943647
banknote_std,0.1,rand_svm,1.8292968529233784,2.2911976730215824
banknote_std,0.2,alfa_svm,0.8419143036659086,3.557322793133263
banknote_std,0.2,falfa_nn,1.9386823939537432,3.6363636363636336
banknote_std,0.2,poison_svm,0.9117678181433854,1.3751033019046663
banknote_std,0.2,rand_svm,3.6955427166133967,4.780124138226907
banknote_std,0.3,alfa_svm,0.5998426208336262,4.279491743978116
banknote_std,0.3,falfa_nn,0.9952484276358217,4.635472285084349
banknote_std,0.3,poison_svm,0.5662855767423718,1.762792675424115
banknote_std,0.3,rand_svm,5.684762744820004,6.106492954089696
breastcancer_std,0.1,alfa_svm,1.105474843073347,2.0003077633318225
breastcancer_std,0.1,falfa_nn,1.124965616885251,2.746048393420798
breastcancer_std,0.1,poison_svm,0.37950620023994497,4.5580284409707295
breastcancer_std,0.1,rand_svm,2.4522981982880623,0.7339123039772589
breastcancer_std,0.2,alfa_svm,1.8322342857728682,5.492096786841585
breastcancer_std,0.2,falfa_nn,0.4227556936631073,4.977635424249511
breastcancer_std,0.2,poison_svm,0.40655882979488034,4.723828778188162
breastcancer_std,0.2,rand_svm,4.113473198627475,4.532635327285553
breastcancer_std,0.3,alfa_svm,2.546037882650471,7.5305880811700865
breastcancer_std,0.3,falfa_nn,1.5099396955883726,2.8424301308806403
breastcancer_std,0.3,poison_svm,0.8342460287792588,4.804583837764615
breastcancer_std,0.3,rand_svm,5.959651800515161,4.225120904839405
cmc_std,0.1,alfa_svm,4.029084623806156,3.018662625205858
cmc_std,0.1,falfa_nn,3.319716934011576,3.272547358955164
cmc_std,0.1,poison_svm,1.834573605011852,4.657780077916658
cmc_std,0.1,rand_svm,1.9185810643825594,0.6607996165972194
cmc_std,0.2,alfa_svm,7.066928982045383,8.090979368508242
cmc_std,0.2,falfa_nn,1.353717021234337,2.413692626293954
cmc_std,0.2,poison_svm,0.7113270008673411,4.754229735031315
cmc_std,0.2,rand_svm,4.096925817084586,0.7426746542442958
cmc_std,0.3,alfa_svm,5.087857788919573,14.786812140283939
cmc_std,0.3,falfa_nn,0.6870294590933225,3.5015488836926756
cmc_std,0.3,poison_svm,1.0711642527484913,5.213069999738886
cmc_std,0.3,rand_svm,8.785442428387972,1.6502591789339782
htru2_subset_std,0.1,alfa_svm,0.3440339736130765,3.0669610365963256
htru2_subset_std,0.1,falfa_nn,0.9986318766192077,2.3545169355942206
htru2_subset_std,0.1,poison_svm,0.7969019013850881,1.2796483892069719
htru2_subset_std,0.1,rand_svm,0.3811987670494193,0.32596012026013443
htru2_subset_std,0.2,alfa_svm,0.4614007206322918,1.8540496217739149
htru2_subset_std,0.2,falfa_nn,1.5318238720557922,3.3382255765600957
htru2_subset_std,0.2,poison_svm,1.0951370145182244,0.6020797289396199
htru2_subset_std,0.2,rand_svm,0.46012905798264697,0.9778803607803949
htru2_subset_std,0.3,alfa_svm,1.0110715231871565,3.313796915925898
htru2_subset_std,0.3,falfa_nn,1.2659914592918877,3.6460595167934358
htru2_subset_std,0.3,poison_svm,0.6556088151829043,1.1911129249571644
htru2_subset_std,0.3,rand_svm,0.6869315832016983,0.627495019900552
phoneme_subset_std,0.1,alfa_svm,0.7710585256645587,0.7071067811865512
phoneme_subset_std,0.1,falfa_nn,1.8427433692731063,2.0509144301993634
phoneme_subset_std,0.1,poison_svm,1.0336587706858675,2.0796634343085496
phoneme_subset_std,0.1,rand_svm,1.8137926425035487,2.8885550020728346
phoneme_subset_std,0.2,alfa_svm,1.0254572150996835,2.0886598574205473
phoneme_subset_std,0.2,falfa_nn,3.3838425827747964,1.6336309252704533
