Poisoning Rate,Easy,Normal,Hard
0.0,0,10,38
0.05,1,16,42
0.1,2,28,46
0.15,15,40,45
0.2,24,43,46
0.25,32,44,45
0.3,39,46,47
0.35,40,49,48
0.4,42,50,49
