Poisoning Rate,Easy,Normal,Hard
0.0,1,8,31
0.05,1,14,38
0.1,3,25,42
0.15,9,35,46
0.2,21,40,48
0.25,28,43,49
0.3,34,44,48
0.35,36,47,49
0.4,36,46,49
