Data.Base,Rate,Train.Clean,Test.Clean,Train.Poison,Test.Poison
abalone_subset_std,0.0,0.7891250000000001,0.7745,0.7891250000000001,0.7745
abalone_subset_std,0.05,0.7891250000000001,0.7745,0.78075,0.756
abalone_subset_std,0.1,0.7891250000000001,0.7745,0.697,0.6975
abalone_subset_std,0.15,0.7891250000000001,0.7745,0.7927500000000001,0.64
abalone_subset_std,0.2,0.7891250000000001,0.7745,0.7525000000000001,0.6045
abalone_subset_std,0.25,0.7891250000000001,0.7745,0.8196249999999999,0.5745
abalone_subset_std,0.3,0.7891250000000001,0.7745,0.83925,0.55
abalone_subset_std,0.35,0.7891250000000001,0.7745,0.8811249999999999,0.53
abalone_subset_std,0.4,0.7891250000000001,0.7745,0.9135,0.5065
australian_std,0.0,0.8797101449275363,0.8797101449275363,0.8797101449275363,0.8797101449275363
australian_std,0.05,0.8797101449275363,0.8797101449275363,0.8471014492753624,0.8507246376811594
australian_std,0.1,0.8797101449275363,0.8797101449275363,0.8365942028985508,0.7971014492753623
australian_std,0.15,0.8797101449275363,0.8797101449275363,0.8362318840579711,0.7565217391304347
australian_std,0.2,0.8797101449275363,0.8797101449275363,0.8485507246376812,0.6797101449275362
australian_std,0.25,0.8797101449275363,0.8797101449275363,0.8579710144927537,0.6478260869565217
australian_std,0.3,0.8797101449275363,0.8797101449275363,0.8416666666666668,0.563768115942029
australian_std,0.35,0.8797101449275363,0.8797101449275363,0.9043478260869564,0.5826086956521739
australian_std,0.4,0.8797101449275363,0.8797101449275363,0.898913043478261,0.49855072463768113
banknote_std,0.0,1.0,1.0,1.0,1.0
banknote_std,0.05,1.0,1.0,0.9773928896991796,0.9723636363636364
banknote_std,0.1,1.0,1.0,0.9422060164083865,0.8974545454545455
banknote_std,0.15,1.0,1.0,0.9766636280765726,0.850909090909091
banknote_std,0.2,1.0,1.0,0.9212397447584321,0.7818181818181819
banknote_std,0.25,1.0,1.0,0.9675478577939834,0.730909090909091
banknote_std,0.3,1.0,1.0,0.9463992707383774,0.6654545454545454
banknote_std,0.35,1.0,1.0,0.9593436645396537,0.6283636363636363
banknote_std,0.4,1.0,1.0,0.9651777575205104,0.5876363636363637
breastcancer_std,0.0,0.989010989010989,0.9701754385964912,0.989010989010989,0.9701754385964912
breastcancer_std,0.05,0.989010989010989,0.9701754385964912,0.989010989010989,0.9403508771929825
breastcancer_std,0.1,0.989010989010989,0.9701754385964912,0.9828571428571429,0.8789473684210527
breastcancer_std,0.15,0.989010989010989,0.9701754385964912,0.9863736263736265,0.8350877192982455
breastcancer_std,0.2,0.989010989010989,0.9701754385964912,0.9718681318681318,0.7701754385964913
breastcancer_std,0.25,0.989010989010989,0.9701754385964912,0.9696703296703297,0.7175438596491228
breastcancer_std,0.3,0.989010989010989,0.9701754385964912,0.9665934065934068,0.6543859649122806
breastcancer_std,0.35,0.989010989010989,0.9701754385964912,0.9169230769230768,0.6263157894736843
breastcancer_std,0.4,0.989010989010989,0.9701754385964912,0.9828571428571429,0.5456140350877193
cmc_std,0.0,0.7799660441426146,0.7850847457627118,0.7799660441426146,0.7850847457627118
cmc_std,0.05,0.7799660441426146,0.7850847457627118,0.7745331069609508,0.7423728813559322
cmc_std,0.1,0.7799660441426146,0.7850847457627118,0.7388794567062819,0.7281355932203389
cmc_std,0.15,0.7799660441426146,0.7850847457627118,0.7853989813242784,0.6210169491525424
cmc_std,0.2,0.7799660441426146,0.7850847457627118,0.7898132427843803,0.6216949152542373
cmc_std,0.25,0.7799660441426146,0.7850847457627118,0.8266553480475383,0.5301694915254237
cmc_std,0.3,0.7799660441426146,0.7850847457627118,0.8393887945670627,0.5776271186440678
cmc_std,0.35,0.7799660441426146,0.7850847457627118,0.8869269949066215,0.47457627118644063
cmc_std,0.4,0.7799660441426146,0.7850847457627118,0.9125636672325976,0.5505084745762712
htru2_subset_std,0.0,0.9336249999999999,0.9269999999999999,0.9336249999999999,0.9269999999999999
htru2_subset_std,0.05,0.9336249999999999,0.9269999999999999,0.927125,0.8875
htru2_subset_std,0.1,0.9336249999999999,0.9269999999999999,0.9251250000000001,0.8324999999999999
htru2_subset_std,0.15,0.9336249999999999,0.9269999999999999,0.928375,0.799
htru2_subset_std,0.2,0.9336249999999999,0.9269999999999999,0.8875,0.708
htru2_subset_std,0.25,0.9336249999999999,0.9269999999999999,0.9215,0.711
htru2_subset_std,0.3,0.9336249999999999,0.9269999999999999,0.9019999999999999,0.619
htru2_subset_std,0.35,0.9336249999999999,0.9269999999999999,0.9405000000000001,0.5985
htru2_subset_std,0.4,0.9336249999999999,0.9269999999999999,0.938125,0.5389999999999999
phoneme_subset_std,0.0,0.8390000000000001,0.8345,0.8390000000000001,0.8345
phoneme_subset_std,0.05,0.8390000000000001,0.8345,0.8096249999999999,0.7525000000000001
phoneme_subset_std,0.1,0.8390000000000001,0.8345,0.808,0.718
phoneme_subset_std,0.15,0.8390000000000001,0.8345,0.799625,0.6885
phoneme_subset_std,0.2,0.8390000000000001,0.8345,0.8175000000000001,0.63
phoneme_subset_std,0.25,0.8390000000000001,0.8345,0.8085000000000001,0.603
phoneme_subset_std,0.3,0.8390000000000001,0.8345,0.85175,0.546
phoneme_subset_std,0.35,0.8390000000000001,0.8345,0.889625,0.5469999999999999
phoneme_subset_std,0.4,0.8390000000000001,0.8345,0.9178750000000001,0.5135
ringnorm_subset_std,0.0,0.99925,0.9644999999999999,0.99925,0.9644999999999999
ringnorm_subset_std,0.05,0.99925,0.9644999999999999,0.999875,0.9259999999999999
