Poisoning Rate,Easy,Normal,Hard
0.0,0,1,20
0.05,0,9,29
0.1,0,24,35
0.15,0,25,38
0.2,6,29,36
0.25,4,30,38
0.3,15,35,39
0.35,11,35,42
0.4,18,38,44
