Poisoning Rate,Easy,Normal,Hard
0.0,0,8,29
0.05,0,19,36
0.1,1,29,35
0.15,2,34,39
0.2,16,35,37
0.25,17,38,40
0.3,24,42,41
0.35,23,40,46
0.4,31,43,46
