Dataset,Poisoning Rate,Attack,Train,Test
abalone_subset_std,0.1,alfa_svm,0.8624999999999993,9.499999999999996
abalone_subset_std,0.1,falfa_nn,9.212500000000002,7.7
abalone_subset_std,0.1,poison_svm,1.6684302307746712,1.7500000000000004
abalone_subset_std,0.1,rand_svm,5.799999999999999,0.8499999999999975
abalone_subset_std,0.2,alfa_svm,0.12500000000000178,20.499999999999996
abalone_subset_std,0.2,falfa_nn,3.6625000000000014,17.0
abalone_subset_std,0.2,poison_svm,3.783132837786931,1.8499999999999983
abalone_subset_std,0.2,rand_svm,12.1625,1.6500000000000004
abalone_subset_std,0.3,alfa_svm,-1.0999999999999988,28.8
abalone_subset_std,0.3,falfa_nn,-5.0125,22.450000000000003
abalone_subset_std,0.3,poison_svm,6.182878198805006,3.0999999999999983
abalone_subset_std,0.3,rand_svm,16.15,1.8999999999999992
australian_std,0.1,alfa_svm,0.9057971014492768,4.927536231884059
australian_std,0.1,falfa_nn,4.31159420289855,8.260869565217392
australian_std,0.1,poison_svm,1.253432009537505,4.492753623188406
australian_std,0.1,rand_svm,7.391304347826089,0.7246376811594191
australian_std,0.2,alfa_svm,9.601449275362317,28.40579710144928
australian_std,0.2,falfa_nn,3.1159420289855078,20.000000000000004
australian_std,0.2,poison_svm,3.6384575123128586,7.391304347826086
australian_std,0.2,rand_svm,13.188405797101453,-2.220446049250313e-15
australian_std,0.3,alfa_svm,8.51449275362319,37.536231884057976
australian_std,0.3,falfa_nn,3.8043478260869534,31.594202898550726
australian_std,0.3,poison_svm,4.362780275157256,12.753623188405797
australian_std,0.3,rand_svm,21.123188405797105,2.8985507246376785
banknote_std,0.1,alfa_svm,2.0237010027347346,10.909090909090907
banknote_std,0.1,falfa_nn,5.779398359161347,10.254545454545452
banknote_std,0.1,poison_svm,7.618236952545341,1.0909090909090913
banknote_std,0.1,rand_svm,9.188696444849588,1.3818181818181796
banknote_std,0.2,alfa_svm,1.3309024612579745,21.745454545454542
banknote_std,0.2,falfa_nn,7.876025524156786,21.81818181818182
banknote_std,0.2,poison_svm,13.633510249118174,1.9636363636363583
banknote_std,0.2,rand_svm,18.140382862351867,2.3999999999999977
banknote_std,0.3,alfa_svm,1.0574293527803147,30.545454545454543
banknote_std,0.3,falfa_nn,5.36007292616226,33.45454545454545
banknote_std,0.3,poison_svm,18.532051467907003,3.6363636363636416
banknote_std,0.3,rand_svm,25.79762989972653,6.909090909090911
breastcancer_std,0.1,alfa_svm,2.1098901098901135,7.192982456140349
breastcancer_std,0.1,falfa_nn,0.6153846153846154,9.122807017543861
breastcancer_std,0.1,poison_svm,-0.34100543492339597,5.263157894736845
breastcancer_std,0.1,rand_svm,7.692307692307696,2.4561403508771917
breastcancer_std,0.2,alfa_svm,3.9560439560439553,19.47368421052632
breastcancer_std,0.2,falfa_nn,1.7142857142857149,20.000000000000004
breastcancer_std,0.2,poison_svm,0.21562569040643575,7.017543859649125
breastcancer_std,0.2,rand_svm,14.637362637362637,3.333333333333333
breastcancer_std,0.3,alfa_svm,4.791208791208789,30.0
breastcancer_std,0.3,falfa_nn,2.2417582417582382,31.57894736842106
breastcancer_std,0.3,poison_svm,1.272837590388498,9.64912280701755
breastcancer_std,0.3,rand_svm,19.912087912087912,8.596491228070178
cmc_std,0.1,alfa_svm,-2.7334465195246183,3.5254237288135593
cmc_std,0.1,falfa_nn,4.108658743633273,5.694915254237289
cmc_std,0.1,poison_svm,-2.3049343378063503,15.05084745762712
cmc_std,0.1,rand_svm,4.210526315789475,-0.2033898305084736
cmc_std,0.2,alfa_svm,-2.7674023769100193,11.118644067796609
cmc_std,0.2,falfa_nn,-0.9847198641765686,16.33898305084746
cmc_std,0.2,poison_svm,-1.9764327898862777,15.322033898305083
cmc_std,0.2,rand_svm,7.623089983022074,0.4745762711864421
cmc_std,0.3,alfa_svm,-8.896434634974533,28.949152542372882
cmc_std,0.3,falfa_nn,-5.942275042444821,20.74576271186441
cmc_std,0.3,poison_svm,0.6445152653638098,17.966101694915256
cmc_std,0.3,rand_svm,7.40237691001698,0.949152542372882
