Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,90.0,78.0,74.0,60.0,56.0,52.0,44.0,42.0,38.0
0.05,28.0,32.0,40.0,48.0,52.0,58.0,60.0,60.0,64.0
0.1,42.0,52.0,56.0,60.0,64.0,58.0,62.0,62.0,62.0
0.15,50.0,58.0,64.0,68.0,70.0,64.0,66.0,68.0,70.0
0.2,62.0,70.0,64.0,66.0,68.0,68.0,68.0,68.0,68.0
0.25,62.0,70.0,72.0,70.0,76.0,76.0,72.0,74.0,76.0
0.3,72.0,76.0,78.0,74.0,78.0,78.0,78.0,80.0,78.0
0.35,74.0,80.0,82.0,76.0,84.0,80.0,84.0,84.0,80.0
0.4,78.0,78.0,84.0,84.0,82.0,80.0,84.0,84.0,80.0
