Poisoning Rate,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4
Clean,94.0,86.0,82.0,72.0,64.0,60.0,52.0,46.0,48.0
0.05,18.0,26.0,32.0,36.0,44.0,52.0,56.0,54.0,56.0
0.1,34.0,44.0,48.0,52.0,54.0,54.0,56.0,56.0,56.0
0.15,44.0,56.0,56.0,58.0,62.0,60.0,60.0,64.0,64.0
0.2,60.0,60.0,58.0,62.0,64.0,64.0,64.0,64.0,64.0
0.25,56.0,68.0,64.0,64.0,70.0,68.0,64.0,70.0,70.0
0.3,68.0,72.0,70.0,70.0,72.0,72.0,68.0,72.0,72.0
0.35,68.0,72.0,72.0,70.0,78.0,76.0,74.0,76.0,74.0
0.4,68.0,76.0,78.0,76.0,78.0,76.0,76.0,80.0,72.0
